Region,Population
Algoma,112764
Brant,144937
Chatham-Kent,104316
DurhamRegional,696992
EasternOntario,210276
GreyBruce,174301
Haldimand-Norfolk,116706
Haliburton,Kawartha,PineRidgeDistrict,189183
HaltonRegional,596637
Hamilton,569353
Hastings and PrinceEdward Counties,171450
HuronPerth,142931
Kingston,Frontenac and Lennox Addington,206962
Lambton,128154
Leeds,Grenville and Lanark District,179830
Middlesex-London,500563
NiagaraRegionalArea,477941
NorthBayParrySound,129362
Northwestern,77338
Ottawa,1017449
Oxford Elgin St.Thomas,216533
Peel Regional,1451022
Peterborough County-City,147681
Porcupine,81188
Renfrew County and District,107522
Simcoe Muskoka District,599843
Sudbury and District,202431
ThunderBay District,152885
Timiskaming,32394
City of Toronto,2794356
Waterloo,587165
Wellington-Dufferin-Guelph,307283
Windsor-EssexCounty,422860
York Regional,1173334
